word;OLD20_m;OLD20_sd;OS;OUP;Language
commode;3,05;,686332741;0;5;FRA
gravité;3,45;,686332741;0;6;FRA
piscine;3,5;,512989176;0;3;FRA
confort;2,95;,510417786;0;5;FRA
torture;2,4;,680557047;2;7;FRA
adosser;2,7;,470162346;0;4;FRA
tartine;2,85;,366347549;0;3;FRA
bruyant;3,05;,510417786;0;5;FRA
contenu;2,55;,759154655;3;7;FRA
suspect;3,7;,656946685;0;6;FRA
dévaler;2,1;,447213595;1;5;FRA
diviser;2,65;,587142949;1;4;FRA
étagère;3,6;,50262469;0;4;FRA
hommage;3,25;,786397516;1;3;FRA
annonce;3,55;,510417786;0;4;FRA
édition;3,2;,523148364;0;5;FRA
monture;2,45;,510417786;0;5;FRA
tapoter;2,8;,410391341;0;3;FRA
caserne;2,85;,489360485;1;4;FRA
fleurir;3,3;,864504726;1;6;FRA
horloge;3,7;,470162346;0;4;FRA
plisser;2,5;,606976979;1;3;FRA
accueil;3,85;,670820393;0;5;FRA
