model;cat;index;diff
FRA;1;36;2,78011718828402
FRA;1;37;2,71678876579882
FRA;2;1;3,48145373360947
FRA;2;2;2,73604724473373
FRA;2;3;3,29070231721893
FRA;2;4;3,40897733887574
FRA;2;5;3,78218345650888
FRA;2;6;3,2097526287574
FRA;2;7;3,3450362012426
FRA;2;8;3,14808150615385
FRA;2;9;3,51813583384615
FRA;2;10;2,83426455236686
FRA;2;11;2,61816667656805
FRA;2;12;3,45471767982249
FRA;2;13;3,27685886615385
FRA;2;14;3,49964831721893
FRA;2;15;3,45643840207101
FRA;2;16;3,18098614792899
FRA;2;17;2,94894872591716
FRA;2;18;3,54491202408284
FRA;2;19;3,45108131928994
FRA;2;20;3,61156951017751
FRA;2;21;3,51678029538462
FRA;2;22;3,29106232236686
FRA;2;23;2,44025597680473
FRA;2;24;3,1704633156213
FRA;2;25;2,89142622828402
FRA;2;26;2,62783343804734
FRA;2;27;2,41524164792899
FRA;2;28;2,57251562023669
FRA;2;29;2,47895500627219
FRA;2;30;2,8920846756213
FRA;2;31;3,66670125828402
FRA;2;32;2,6324873431361
FRA;2;33;2,3902991408284
FRA;2;34;2,45212430579882
FRA;2;35;2,54544738710059
FRA;2;36;2,42576005568047
FRA;2;37;2,37777919674556
FRA;3;1;3,58574150674556
FRA;3;2;3,29070231721893
FRA;3;3;2,98557032295858
FRA;3;4;3,45897165278106
FRA;3;5;3,86576907757396
FRA;3;6;3,30211758621302
FRA;3;7;3,40210096573964
FRA;3;8;3,28560481680473
FRA;3;9;3,59144900301775
FRA;3;10;2,89637322976331
FRA;3;11;2,74151845792899
FRA;3;12;3,53720729934911
FRA;3;13;3,40403930834319
FRA;3;14;3,5756634139645
FRA;3;15;3,58032795284024
FRA;3;16;3,27677113349112
FRA;3;17;3,06957372816568
FRA;3;18;3,63379392449704
FRA;3;19;3,51927765816568
FRA;3;20;3,59768604946746
FRA;3;21;3,61040423923077
FRA;3;22;3,34583898260355
FRA;3;23;2,62584149189349
FRA;3;24;3,17197166088757
FRA;3;25;3,1567576583432
FRA;3;26;2,82840461337278
FRA;3;27;2,60889483319527
FRA;3;28;2,75434763289941
FRA;3;29;2,6864664052071
FRA;3;30;2,99686041420118
FRA;3;31;3,76945605130178
FRA;3;32;2,81612630319527
FRA;3;33;2,59660733721893
FRA;3;34;2,60842256189349
FRA;3;35;2,70708778319527
FRA;3;36;2,62632490485207
FRA;3;37;2,59385048650888
FRA;4;1;3,64621214852071
FRA;4;2;3,40897733887574
FRA;4;3;3,45897165278106
FRA;4;4;3,01086055857988
FRA;4;5;3,87416221881657
FRA;4;6;3,40487584727811
FRA;4;7;3,44947777011834
FRA;4;8;3,3523602095858
FRA;4;9;3,59045365633136
